Graphic,Enum,Specification,APP-06 code,identifier1,identifier2,countryCodes,additionalInfo,hostility,status,dtg1,dtg2,echelon,direction,mineType,mobility,terrain,altitude1,altitude2,width,length,radius,grids,weapon,rangeFan
"abatis",Abatis,"FM 1-02.2 + APP-06",280100,,,,,Y,,,,,,,,,,,,,,,,
"advance to contact",AdvanceToContact,"APP-06",342900,Y,,,,Y,,Y,Y,,,,,,,,,,,,,
"air corridor",AirCorridor,"FM 1-02.2 + APP-06",170100,Y,,,,Y,,Y,Y,,,,,,Y,Y,Y,,,,,
"air space coordination area circular",AirSpaceCoordinationAreaCircular,"FM 1-02.2 + APP-06",240103,Y,,,,Y,Y,Y,Y,,,,,,Y,Y,,,Y,Y,,
"air space coordination area irregular",AirSpaceCoordinationAreaIrregular,"FM 1-02.2 + APP-06",240101,Y,,,,Y,Y,Y,Y,,,,,,Y,Y,,,,Y,,
"air space coordination area rectangular",AirSpaceCoordinationAreaRectangular,"FM 1-02.2 + APP-06",240102,Y,,,,Y,Y,Y,Y,,,,,,Y,Y,Y,,,Y,,
"air to air refueling restricted operations zone",AirToAirRefuelingRestrictedOperationsZone,"FM 1-02.2 + APP-06",171100,Y,,,,Y,Y,Y,Y,,,,,,Y,Y,,,,,,
"airborne or aviation axis of advance",AviationAxisOfAdvance,"FM 1-02.2 + APP-06",151401,Y,,,,Y,,Y,Y,,,,,,,,,,,,,
"airfield",Airfield,"FM 1-02.2 + APP-06",131900,Y,,,,Y,,,,,,,,,,,,,,,,
"airfield zone",AirfieldZone,"APP-06",120400,,,,Y,Y,,,,,,,,,,,,,,,,
"airhead line",AirheadLine,"FM 1-02.2 + APP-06",141300,Y,,,,Y,,,,,,,,,,,,,,,,
"alternate supply route",AlternateSupplyRoute,"FM 1-02.2 + APP-06",330400,Y,,,,Y,Y,,,,Y,,,,,,,,,,,
"ambush",Ambush,"FM 1-02.2 + APP-06",141700,,,,,Y,,,,,,,,,,,,,,,,
"Anti-Tank Ditch Reinforced, with Anti-Tank Mines",AntiTankDitchReinforcedWithMines,"FM 1-02.2 + APP-06",290203,,,,,Y,,,,,,,,,,,,,,,,
"Anti-Tank Ditch, Completed",AntiTankDitchCompleted,"FM 1-02.2 + APP-06",290202,,,,,Y,,,,,,,,,,,,,,,,
"Anti-Tank Ditch, Under Construction",AntiTankDitchUnderConstruction,"FM 1-02.2 + APP-06",290201,,,,,Y,,,,,,,,,,,,,,,,
"area",Area,"APP-06",150100,,,,,Y,,,,,,,,,,,,,,,,
"area defense",AreaDefense,"FM 1-02.2 + APP-06",152600,,,,,Y,,,,,,,,,,,,,Y,,,
"area of operations",AreaOfOperations,"FM 1-02.2 + APP-06",120100,Y,,,,Y,Y,,,,,,,,,,,,,,,
"area, generic",AreaGeneric,"APP-06",120700,Y,,,Y,Y,,Y,Y,,,,,,,,,,,,,
"artillery maneuver area",ArtilleryManeuverArea,"APP-06",242400,Y,,,,Y,,Y,Y,,,,,,,,,,,,,
"artillery reserved area",ArtilleryReservedArea,"APP-06",242500,Y,,,,Y,,Y,Y,,,,,,,,,,,,,
"artillery target intelligence zone circular",ArtilleryTargetIntelligenceZoneCircular,"FM 1-02.2 + APP-06",241103,Y,,,,Y,,Y,Y,,,,,,,,,,Y,,,
"artillery target intelligence zone irregular",ArtilleryTargetIntelligenceZoneIrregular,"FM 1-02.2 + APP-06",241101,Y,,,,Y,,Y,Y,,,,,,,,,,,,,
"artillery target intelligence zone rectangular",ArtilleryTargetIntelligenceZoneRectangular,"FM 1-02.2 + APP-06",241102,Y,,,,Y,,Y,Y,,,,,,,,Y,,,,,
"assault crossing",AssaultCrossing,"FM 1-02.2 + APP-06",271300,,,,,Y,,Y,,,,,,,,,,,,,,
"assault position",AssaultPosition,"FM 1-02.2 + APP-06",151500,Y,,,,Y,Y,,,,,,,,,,,,,,,
"assembly area",AssemblyArea,"FM 1-02.2 + APP-06",150200,Y,,,,Y,Y,,,,,,,,,,,,,,,
"attack by fire",AttackByFire,"FM 1-02.2 + APP-06",152000,,,,,,,,,,,,,,,,,,,,,
"attack helicopter axis of advance",AttackHelicopterAxisOfAdvance,"FM 1-02.2 + APP-06",151402,Y,,,,Y,,Y,Y,,,,,,,,,,,,,
"attack position",AttackPosition,"FM 1-02.2 + APP-06",151600,Y,,,,Y,Y,,,,,,,,,,,,,,,
"avenue of approach",AvenueOfApproach,"APP-06",152300,Y,,,,Y,,,,,,,,,,,,,,,,
"aviation direction of attack",AviationDirectionOfAttack,"FM 1-02.2 + APP-06",140601,Y,,,,Y,,Y,Y,,,,,,,,,,,,,
"axis of attack",AxisOfAttack,"",,Y,,,,Y,,,,,,,,,,,,,,,,
"base camp",BaseCamp,"FM 1-02.2 + APP-06",120500,Y,,,,Y,Y,,,,,,,,,,,,,,,
"base defense zone",BaseDefenseZone,"FM 1-02.2 + APP-06",170800,,,,,Y,,,,,,,,,,,,,Y,,,
"battle position",BattlePosition,"FM 1-02.2 + APP-06",151200,Y,,,,Y,Y,,,Y,,,,,,,,,,,,
"battle position prepared but not occupied",BattlePositionPreparedButNotOccupied,"FM 1-02.2 + APP-06",151202,Y,,,,Y,Y,,,Y,,,,,,,,,,,,
"battlefield coordination line",BattlefieldCoordinationLine,"APP-06",260400,Y,,,,Y,Y,Y,Y,,,,,,,,,,,,,
"battlefield handover line",BattlefieldHandoverLine,"FM 1-02.2 + APP-06",141900,Y,,,,Y,Y,,,,,,,,,,,,,,,
"biological contaminated area",BiologicalContaminatedArea,"APP-06",271700,,,,,,,,,,,,,,,,,,,,,
"biological contaminated area, toxic industrial material",BiologicalContaminatedAreaToxicIndustrialMaterial,"APP-06",271701,,,,,,,,,,,,,,,,,,,,,
"block",TacticalBlock,"FM 1-02.2 + APP-06",340100,,,,,,,,,,,,,,,,,,,,,
"block",Block,"FM 1-02.2 + APP-06",270501,,,,,,,,,,,,,,,,,,,,,
"blue kill box circular",BlueKillBoxCircular,"FM 1-02.2 + APP-06",242303,Y,,,,Y,,Y,Y,,,,,,,,,,Y,,,
"blue kill box irregular",BlueKillBoxIrregular,"FM 1-02.2 + APP-06",242301,Y,,,,Y,,Y,Y,,,,,,,,,,,,,
"blue kill box rectangular",BlueKillBoxRectangular,"FM 1-02.2 + APP-06",242302,Y,,,,Y,,Y,Y,,,,,,,,Y,,,,,
"bomb area",BombArea,"APP-06",240808,Y,,,,Y,Y,,,,,,,,,,,,,,,
"boundary",Boundary,"FM 1-02.2 + APP-06",110100,Y,Y,Y,,Y,Y,,,Y,,,,,,,,,,,,
"breach",Breach,"FM 1-02.2 + APP-06",340200,,,,,,,,,,,,,,,,,,,,,
"bridge",Bridge,"FM 1-02.2 + APP-06",271100,,,,,Y,,,,,,,,,,,,,,,,
"bridgehead",Bridgehead,"APP-06",120800,Y,,,,Y,Y,,,,,,,,,,,,,,,
"bridgehead line",BridgeheadLine,"FM 1-02.2 + APP-06",141400,Y,,,,Y,Y,,,,,,,,,,,,,,,
"brigade support area",BrigadeSupportArea,"FM 1-02.2 + APP-06",310600,Y,,,,Y,Y,,,,,,,,,,,,,,,
"bypass",Bypass,"FM 1-02.2 + APP-06",340300,,,,,,,,,,,,,,,,,,,,,
"call for fire zone circular",CallForFireZoneCircular,"FM 1-02.2 + APP-06",241203,Y,,,,Y,,Y,Y,,,,,,,,,,Y,,,
"call for fire zone irregular",CallForFireZoneIrregular,"FM 1-02.2 + APP-06",241201,Y,,,,Y,,Y,Y,,,,,,,,,,,,,
"call for fire zone rectangular",CallForFireZoneRectangular,"FM 1-02.2 + APP-06",241202,Y,,,,Y,,Y,Y,,,,,,,,Y,,,,,
"canalize",Canalize,"FM 1-02.2 + APP-06",340400,,,,,,,,,,,,,,,,,,,,,
"capture",Capture,"APP-06",343000,,,,,,,,,,,,,,,,,,,,,
"censor zone circular",CensorZoneCircular,"FM 1-02.2 + APP-06",241303,Y,,,,Y,,Y,Y,,,,,,,,,,Y,,,
"censor zone irregular",CensorZoneIrregular,"FM 1-02.2 + APP-06",241301,Y,,,,Y,,Y,Y,,,,,,,,,,,,,
"censor zone rectangular",CensorZoneRectangular,"FM 1-02.2 + APP-06",241302,Y,,,,Y,,Y,Y,,,,,,,,Y,,,,,
"chemical contaminated area",ChemicalContaminatedArea,"APP-06",271800,,,,,,,,,,,,,,,,,,,,,
"chemical contaminated area, toxic industrial material",ChemicalContaminatedAreaToxicIndustrialMaterial,"APP-06",271801,,,,,,,,,,,,,,,,,,,,,
"clear",Clear,"FM 1-02.2 + APP-06",340500,,,,,,,,,,,,,,,,,,,,,
"common sensor boundary",CommonSensorBoundary,"FM 1-02.2",,Y,,,,Y,Y,Y,Y,,,,,,,,,,,,,
"contain",Contain,"FM 1-02.2 + APP-06",151204,,,,,,,,,,,,,,,,,,Y,,,
"control",Control,"FM 1-02.2 + APP-06",343200,,,,,,,,,,,,,,,,,,Y,,,
"coordinated fire line",CoordinatedFireLine,"FM 1-02.2 + APP-06",260200,Y,,,,Y,Y,Y,Y,,,,,,,,,,,,,
"cordon and knock",CordonAndKnock,"APP-06",342600,,,,,Y,,,,,,,,,,,,,,,,
"cordon and search",CordonAndSearch,"FM 1-02.2 + APP-06",342700,,,,,Y,,,,,,,,,,,,,Y,,,
"corps support area",CorpsSupportArea,"FM 1-02.2 + APP-06",310800,Y,,,,Y,Y,,,,,,,,,,,,,,,
"counterattack",Counterattack,"FM 1-02.2 + APP-06",340600,Y,,,,Y,,,,,,,,,,,,,,,,
"counterattack by fire",CounterattackByFire,"APP-06",340700,Y,,,,Y,,,,,,,,,,,,,,,,
"cover",Cover,"FM 1-02.2 + APP-06",342201,,,,,Y,,,,,,,,,,,,,,,,
"critical friendly zone circular",CriticalFriendlyZoneCircular,"FM 1-02.2 + APP-06",241403,Y,,,,Y,,Y,Y,,,,,,,,,,Y,,,
"critical friendly zone irregular",CriticalFriendlyZoneIrregular,"FM 1-02.2 + APP-06",241401,Y,,,,Y,,Y,Y,,,,,,,,,,,,,
"critical friendly zone rectangular",CriticalFriendlyZoneRectangular,"FM 1-02.2 + APP-06",241402,Y,,,,Y,,Y,Y,,,,,,,,Y,,,,,
"dead space area circular",DeadSpaceAreaCircular,"FM 1-02.2 + APP-06",241503,Y,,,,Y,,Y,Y,,,,,,,,,,Y,,,
"dead space area irregular",DeadSpaceAreaIrregular,"FM 1-02.2 + APP-06",241501,Y,,,,Y,,Y,Y,,,,,,,,,,,,,
"dead space area rectangular",DeadSpaceAreaRectangular,"FM 1-02.2 + APP-06",241502,Y,,,,Y,,Y,Y,,,,,,,,Y,,,,,
"decision line",DecisionLine,"APP-06",110500,Y,,,,Y,,,,,,,,,,,,,,,,
"delay",Delay,"FM 1-02.2 + APP-06",340800,,,,,Y,,,,,,,,,,,,,,,,
"delay line",DelayLine,"FM 1-02.2",,Y,,,,Y,Y,,,,,,,,,,,,,,,
"demonstration",Demonstration,"APP-06",343300,,,,,,,,,,,,,,,,,,,,,
"deny",Deny,"APP-06",343400,,,,,,,,,,,,,,,,,,,,,
"destroy",Destroy,"FM 1-02.2 + APP-06",340900,,,,,,,,,,,,,,,,,,,,,
"detainee holding area",DetaineeHoldingArea,"FM 1-02.2 + APP-06",310100,Y,,,,Y,Y,,,,,,,,,,,,,,,
"direction of main attack",DirectionOfMainAttack,"FM 1-02.2 + APP-06",140602,Y,,,,Y,,Y,Y,,,,,,,,,,,,,
"direction of main attack feint",DirectionOfMainAttackFeint,"FM 1-02.2 + APP-06",140605,Y,,,,Y,,Y,Y,,,,,,,,,,,,,
"direction of supporting attack",DirectionOfSupportingAttack,"FM 1-02.2 + APP-06",140603,Y,,,,Y,Y,Y,Y,,,,,,,,,,,,,
"disengage",Disengage,"FM 1-02.2 + APP-06",344400,,,,,,,,,,,,,,,,,,,,,
"disrupt",TacticalDisrupt,"FM 1-02.2 + APP-06",341000,,,,,,,,,,,,,,,,,,,,,
"disrupt",Disrupt,"FM 1-02.2 + APP-06",270502,,,,,,,,,,,,,,,,,,,,,
"division support area",DivisionSupportArea,"FM 1-02.2 + APP-06",310700,Y,,,,Y,Y,,,,,,,,,,,,,,,
"drop zone",DropZone,"FM 1-02.2 + APP-06",150600,Y,,,,Y,Y,,,,,,,,,,,,,,,
"encirclement",Encirclement,"FM 1-02.2 + APP-06",151800,Y,,,,Y,,,,,,,,,,,,,,,,
"enemy prisoner of war holding area",EnemyPrisonerOfWarHoldingArea,"APP-06",310200,Y,,,,Y,Y,,,,,,,,,,,,,,,
"engagement area",EngagementArea,"FM 1-02.2 + APP-06",151300,Y,,,,Y,Y,,,,,,,,,,,,,,,
"engineer work line",EngineerWorkLine,"FM 1-02.2 + APP-06",110300,Y,Y,Y,,Y,Y,,,,,,,,,,,,,,,
"envelopment",Envelopment,"FM 1-02.2 + APP-06",343500,,,,,Y,,,,,,,,,,,,,,,,
"escort",Escort,"APP-06",343600,,,,,Y,,,,,,,,,,,,,,,,
